title,price,publisher,pages,author
"Master, The (Huang Fei Hong jiu er zhi long xing tian xia)",118.49,"Christiansen, Heaney and Fay",197,Ruprecht Rooms
Angel of Mine (a.k.a. The Mark of an Angel) (L'empreinte de l'ange),270.2,Murazik LLC,310,Gwyn Winckle
Railroaded!,135.2,Bruen and Sons,7,Lotty Jedryka
Just Married,226.35,Hegmann LLC,17,Fran Bonin
Sisters (Syostry),194.46,"Kovacek, Ratke and Gutmann",345,Jennie Meardon
"Commune, La (Paris, 1871)",13.34,Blick and Sons,370,Nadya Balcock
Tropic Thunder,85.24,Gottlieb-Weber,467,Felike Crannach
The Last Word,192.52,Keebler Group,35,Thaddus Spoure
Taffin,113.53,Upton-Fadel,172,Jerrie Barz
Dirty Love,277.79,"Russel, Brekke and Zemlak",47,Perice Hyman
Sleeping Beauty,288.65,"Satterfield, Crona and Veum",235,Alexandra Sagerson
Venom,11.58,Spencer-Schroeder,253,Alejandrina Eim
"RKO Production 601: The Making of 'Kong, the Eighth Wonder of the World'",99.54,"Casper, Graham and Monahan",67,Veronike James
Hidden (a.k.a. Cache) (Caché),28.53,"Hilpert, Smitham and Stehr",345,Morgan Mattiuzzi
Sunshine,126.21,DuBuque and Sons,306,Buck Spaduzza
"Paralyzing Fear: The Story of Polio in America, A",253.19,"Skiles, Pfeffer and Dickinson",426,Micah Conaboy
For the Love of a Dog,8.66,"Leuschke, Collins and Kihn",368,Davin Gladeche
"Thousand Clowns, A",20.62,"Bernier, Murazik and Howe",441,Marchelle Bangs
"Darkest Hour, The",276.27,Hauck Group,245,Morissa Thrower
Marc Maron: Thinky Pain,197.04,"Strosin, Barton and Muller",356,Griswold Colisbe
Love Affair,205.36,"Mraz, Schiller and O'Kon",454,Ezra Edwicke
"Adjustment Bureau, The",118.41,"Simonis, Bins and McLaughlin",424,Miller Whittingham
Battle in Outer Space,159.63,"Franecki, Pfannerstill and Sauer",434,Gerek Larrad
Night of the Zombies (a.k.a. Hell of the Living Dead) (Virus),121.88,"Nikolaus, Lueilwitz and Homenick",458,Roch Braemer
Firewall,240.9,Macejkovic and Sons,348,Aylmar Maidment
Impostor,212.24,Corwin-Harris,159,Linell Abate
Goya's Ghosts,206.88,Hammes Group,348,Royal Beetham
Private Fears in Public Places (Coeurs),123.34,"Wehner, Daugherty and Kulas",166,Therine Libbe
Great Balls of Fire!,220.49,Hilpert-Langworth,91,Brien Marham
Corto Maltese in Siberia (Corto Maltese - La cour secrète des Arcanes),4.73,Klein-Mann,269,Jerrome Falks
Deathdream (a.k.a. Dead of Night),142.53,Trantow and Sons,167,Klara Setterthwait
Manny & Lo,242.88,Sanford Inc,453,Walden Yakutin
Will Ferrell: You're Welcome America - A Final Night with George W Bush,214.19,Hilll Group,397,Jehanna Garey
House Party,116.65,Mraz-Mueller,147,Daveen Blomfield
For the Love of a Dog,258.26,Baumbach Inc,229,Art Dunsford
"Wet Parade, The",113.79,Hilpert-Bahringer,134,Austine Mandres
Waterworld,98.24,Lang LLC,337,Bendicty Peverell
Bertie and Elizabeth,291.25,McGlynn and Sons,168,Llewellyn Pollard
Diamonds Are Forever,193.61,Greenfelder and Sons,410,Druci Belliss
Time Limit,67.73,Paucek Group,401,Wilmer Shama
"Children of the Century, The (Enfants du siècle, Les)",20.86,"Williamson, Bernier and Kunde",74,Friederike St. Hill
Perfect Stranger,194.52,"Hane, Kovacek and Heaney",78,Gustave Bankes
Star Trek VI: The Undiscovered Country,151.73,Boyle Group,18,Vic Sainte Paul
Psycho,63.87,"Simonis, Miller and Gottlieb",211,Tobin Henstridge
Rise of the Planet of the Apes,80.17,Hayes-Schumm,438,Janis Noden
Go Figure (Va savoir),229.72,"Botsford, Balistreri and Lemke",466,Woodman Salamon
Forbidden,197.96,Ebert Group,174,Valenka Greville
Chouga (Shuga),88.57,"Herman, Cartwright and Ferry",264,Victoria Choke
Addams Family Values,264.95,Kerluke Inc,422,Maiga Pothbury
Son of Lassie,123.22,"Yundt, Thompson and Bogisich",400,Lyndel Briand
Burton and Taylor,3.45,Ryan-Dooley,129,Phebe Brasseur
Justin Bieber's Believe,74.1,Okuneva Inc,312,Wanda Cumberpatch
Day of the Animals,60.12,Schuppe LLC,39,Karil Tallow
"Sunday Day in Hell, A (En forårsdag i Helvede)",89.35,Cronin-Powlowski,302,Udale Zettoi
Pleasantville,129.84,Brekke-Hahn,416,Allister Pryor
"Immigrant, The",80.65,"Feeney, Kutch and Wuckert",315,Blinni Sutherden
O,4.36,Braun Inc,42,Glynda Roback
Knock Off,182.43,Quigley and Sons,321,Winifred Mengue
"Hard Man, The",164.17,Stoltenberg Group,315,Margalit McTavish
Around the World in 80 Days,106.94,"Fahey, Dietrich and McCullough",11,Emilio Ambroix
The Pentagon Papers,241.54,Sauer-Kertzmann,302,Elizabeth Unstead
Revenge of the Electric Car,70.84,Pouros-Konopelski,142,Washington Scranney
Vermin,194.83,Kub Inc,396,Deerdre Foulger
Japon (a.k.a. Japan) (Japón),184.99,McLaughlin LLC,291,Darice Thurley
Daughters of the Dust,28.44,Marquardt-MacGyver,14,Horton Beardmore
Twixt,227.09,"Kreiger, Upton and Simonis",164,Jocelyn Pellissier
Where's Poppa?,128.67,Bruen-Stiedemann,381,Eberhard Bastide
Talaash,26.83,"Kuhn, Klocko and Jacobs",60,Camala Rainsden
All the King's Men,265.52,Glover-Smitham,244,Chrysa Guerin
Lake Tahoe,296.9,Emmerich and Sons,6,Shirlee Milsap
Tabu: A Story of the South Seas,210.61,Weber Group,264,Erastus Pickavance
All the Invisible Children,180.34,Skiles-McLaughlin,419,Zacharie Diess
